1.335939904157734759e+02,2.909655373967612491e+02
1.229971013781863007e+02,2.887633018972417744e+02
1.301719036979174007e+02,2.836023198252522661e+02
1.227222328189878056e+02,2.979313376455401112e+02
1.311520808337922119e+02,2.992919137316259821e+02
1.351688221385300039e+02,2.930183251230709516e+02
1.287155417251420602e+02,2.879367329901962762e+02
1.325923663573777560e+02,2.875701148291753384e+02
1.214780716671401422e+02,2.898708226526604790e+02
1.292066567435292370e+02,2.940974245433912415e+02
1.625351617355721885e+02,2.934863183645070421e+02
1.612792770336882597e+02,3.031093774711957280e+02
1.545270956091392236e+02,2.973413793887047518e+02
1.560222449675694349e+02,3.007336328909308349e+02
1.522328848824206204e+02,2.974414561634022220e+02
1.649305491567113222e+02,2.944255861574153528e+02
1.624222669812844515e+02,2.955299127162443256e+02
1.604644967857402662e+02,2.907556799802060823e+02
1.547345102503374790e+02,2.969444429217017500e+02
1.587294441175370707e+02,3.002248625586709636e+02
2.785916086770519655e+02,3.162536453149653539e+02
2.817864166747637569e+02,3.122832623708581536e+02
2.900274270877134200e+02,3.247600991098142913e+02
2.750710140269521844e+02,3.187918711374271084e+02
2.776828526951445610e+02,3.182344492913874205e+02
2.739753509670334779e+02,3.180884430774164002e+02
2.732047124746424061e+02,3.075075955467411859e+02
2.743836839774701275e+02,3.072298141328238330e+02
2.792444974407192717e+02,3.101031189493970146e+02
2.871991306149840284e+02,3.278300519934903718e+02
